id,smiles,notes,params_json
3595866,CC(C)OC1=CC=C(C=C1)C(=O)OC(C)C(=O)NC2=NC(=CS2)C3=CC(=CC=C3)[N+](=O)[O-],,
3595970,C1=CSC(=C1)C2C(=C(C(=O)N2C3=NC=CS3)O)C(=O)C4=CC=CS4,,
3596506,C1=CC2=C(C=C1O)N=CS2,,
3598847,CC(C)(C)C1=CC=C(C=C1)C(=O)NC2=NC3=C(S2)C4=C(C=C3)N=C(S4)SC,,
3598848,C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)NC2=NC(=CS2)C3=CN=CC=C3,,
3600650,COC1=C(C=C(C=C1)C(=O)NC2=NC3=C(S2)C4=C(C=C3)N=C(S4)SC)OC,,
3601205,C1=CC=C(C=C1)C(=O)C(C#N)C2=NC3=CC=CC=C3S2,,
3602756,CCOC1=CC2=C(C=C1)N=C(S2)SCC3=CC(=C(C=C3Cl)F)F,,
3603626,C1=CC=C(C=C1)C2=C(SC(=N2)C3=CC=CC=C3)CC4=NNC(=S)O4,,
3603880,CCOC1=CC=C(C=C1)C(=O)NC2=C(C3=C(S2)CN(CC3)C(C)C)C4=NC5=CC=CC=C5S4,,
3603923,C1=CC=C2C(=C1)N=C(S2)C3=CC(=CC=C3)NC(=O)COC4=CC=CC=C4[N+](=O)[O-],,
3604297,C1=CC2=C(C=CC(=C2N=C1)OCC3=CN=C(S3)Cl)Cl,,
3604340,COC1=NNC(=C1[N+](=O)[O-])C(=O)NC2=NC3=CC=CC=C3S2,,
3604604,C1=CC(=CC=C1NC(=O)CSC2=NC3=C(S2)C=CC(=C3)Cl)F,,
3604644,CC1=CC(=C(C=C1)C(C)C)OCC(=O)NC2=NC3=C(S2)CCCC3,,
3604987,CC1=NC2=C(S1)C=CC3=C2SC(=N3)NC(=O)C4=CC(=CC(=C4)OC)OC,,
3605061,C1C(OC2=CC=CC=C2O1)C(=O)NC3=NC4=CC=CC=C4S3,,
3605180,CC1=CC=C(O1)C(=O)C2=C(C(=O)N(C2C3=CC=C(C=C3)C(C)C)C4=NC5=C(C=C(C=C5S4)C)C)O,,
3605289,COC1=C2C(=CC=C1)SC(=N2)NC(=O)C3=CC=C(S3)C4=NC5=CC=CC=C5S4,,
3606577,CC1=NC2=C(S1)C3=C(C=C2)N=C(S3)NC(=O)C45CC6CC(C4)CC(C6)C5,,
3606774,CC(C)C1=CC2=C(C=C1)N=C(S2)NC(C(F)(F)F)(C(F)(F)F)NC(=O)C3=C(C=C(C=C3)Cl)Cl,,
3607027,CC1=CC(=C(C(=C1)C)N=CC2=C(N(C(=O)C3=CC=CC=C32)C4=NC=CS4)O)C,,
3607071,C1=C(OC(=C1)[N+](=O)[O-])C2=CSC(=N2)NNC=O,,
3607687,C1CC(OC1)CN=CC2=C(NN(C2=O)C3=NC4=CC=CC=C4S3)C(F)(F)F,,
3607896,CCCOC1=CC(=C(C=C1)C=C(C2=NC3=CC=CC=C3S2)C4=NC5=CC=CC=C5S4)O,,
3608006,C1=CC(=CC=C1C2=NC3=C(S2)C=CC(=C3)Cl)C(=O)O,,
3608125,CCC(=CC1=[N+](C2=C(S1)C=CC3=CC=CC=C32)CCCS(=O)(=O)[O-])C=C4N(C5=C(S4)C=CC(=C5)C)CC,,
3608221,C1=CC=C(C=C1)CCC2=CSC(=N2)N,,
3608276,CC(=O)NC1C(=C(C(=O)N1C2=CC(=CC=C2)OC)C3=CC=CC=C3)C4=NC5=CC=CC=C5S4,,
3608891,C1CN(CCC1C(=O)NC2=NC3=C(S2)C=C(C=C3)F)S(=O)(=O)C4=C(C=CC(=C4)[N+](=O)[O-])Cl,,
3609966,CC1=CC(=NC2=NC(=CN12)CSC3=NC4=CC=CC=C4S3)C,,
3610155,C1=CC2=C(C=C1Br)N=CS2,,
3610175,CC1=CC2=C(C=C1)N=C(S2)NC(=O)CSC3=NN=C(O3)C4=CC=NC=C4,,
3610835,C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)C3=CSC(=N3)NC4=CC=CC=C4,,
3611079,CC1=CC2=C(C=C1)OC(=O)C(=C2)C3=NC4=CC=CC=C4S3,,
3611286,CCOC1=C2C(=CC=C1)SC(=N2)NC(=O)C3=CC=C(S3)Cl,,
3611794,CCCCC1=CC=C(C=C1)NC2=NC(=CS2)CC(=O)O,,
3611999,CC1=C(C(=CC=C1)NC(=O)CSC2=NC3=C(S2)C=C(C=C3)NC(=O)CSCC(=O)NC4=CC5=CC=CC=C5C=C4)C,,
